--->Extraindo texto do arquivo mes_bg13_01_us.u16
Você está saindo desta cidade? #Y||Leave this town? #Y,¿Te marchas de esta ciudad? #Y||
I wonder if we'll fight the terrible weapons depicted on the ancient murals.||I wonder if we'll fight the terrible weapons depicted on the ancient murals.,No sé si nos enfrentaremos a las horribles armas representadas en los murales ancestrales.||
We're locked and loaded. Ready to go.||We're locked and loaded. Ready to go.,Estamos armados hasta los dientes y con ganas de jaleo.||
The ancient weapons are no match for Jibral's technical skills.||The ancient weapons are no match for Jibral's technical skills.,Las armas ancestrales nada tienen que hacer frente a la técnica de Yibral.||
But what is this strange sound? It's throwing me off!||But what is this strange sound? It's throwing me off!,¿De dónde viene ese extraño ruido? ¡Me está mareando!||
Not used||Not used,Sin usar||
The king has already headed for the roof. He should be waiting for you.||The king has already headed for the roof. He should be waiting for you.,El rey ya se ha marchado hacia la azotea y estará esperando.||
The servants and scientists were evacuated downstairs. Many years of planning are about to pay off!||The servants and scientists were evacuated downstairs. Many years of planning are about to pay off!,"Los sirvientes y los científicos han sido evacuados. Tras largos años, ahora recogeremos los frutos."||
You're in the way! Move!||You're in the way! Move!,¡Estáis en medio! ¡Apartaos!||
"Ohhh, this is the end of Jibral! I've never seen anything so horrific!"||"Ohhh, this is the end of Jibral! I've never seen anything so horrific!",¡Oh! ¡Es el fin de Yibral! ¡Jamás había visto nada tan espantoso!||
"Don't worry about us, hurry on up to the roof."||"Don't worry about us, hurry on up to the roof.","No os preocupéis por nosotros. Id a la azotea, deprisa."||
There can be no delays. Failure is not an option!||There can be no delays. Failure is not an option!,No se permitirán los retrasos. ¡El fracaso no es una opción!||
What're you doing? Step aside!||What're you doing? Step aside!,¿Qué hacéis? ¡Apartad de ahí!||
There is something we must protect.||There is something we must protect.,Hay algo que debemos proteger.||
"All right, here we go!"||"All right, here we go!",¡Vamos allá!||
We fight as one! Get up in the balloon and fight!||We fight as one! Get up in the balloon and fight!,¡Luchamos unidos! ¡Al globo y a la carga!||
"Using the balloons, huh? Good luck!"||"Using the balloons, huh? Good luck!","En los globos, ¿eh? ¡Suerte!"||
We'll have some tales to tell after we're done with this!||We'll have some tales to tell after we're done with this!,Ya les podremos contar batallitas a nuestros nietos cuando esto acabe.||
With your help we successfully pulled them in! But the true battle still awaits us!||With your help we successfully pulled them in! But the true battle still awaits us!,"¡Gracias a tu ayuda, los hemos hundido! ¡Pero la verdadera batalla aún nos aguarda!"||
It was thanks to Shu! Good luck once you're in the balloon!||It was thanks to Shu! Good luck once you're in the balloon!,¡Fue gracias a Shu! ¡Suerte cuando estés en el globo!||
You're very powerful in spite of your size. Go sink that thing!||You're very powerful in spite of your size. Go sink that thing!,"Para lo pequeño que eres, tienes mucho poder. Hunde ese armatoste."||
"Even without you, we did good. My strength, number one!"||"Even without you, we did good. My strength, number one!",Todo salió bien sin tu ayuda. ¡Yo tengo más fuerza!||
You! Brave one!||You! Brave one!,"¡Tú, oh, valiente!"||
Are you going up in the balloon? Good luck!||Are you going up in the balloon? Good luck!,¿Vas a subirte al globo? ¡Suerte!||
Are you going up in the balloon? Good luck!||Are you going up in the balloon? Good luck!,¿Vas a subirte al globo? ¡Suerte!||
The battle is about to begin! We will follow you!||The battle is about to begin! We will follow you!,¡La batalla está a punto de estallar! ¡Te seguiremos!||
"So far everything's going according to plan! I wonder, though..."||"So far everything's going according to plan! I wonder, though...","¡Por ahora, todo va a pedir de boca! Pero tengo mis dudas..."||
You must fight bravely. Be calm at all times.||You must fight bravely. Be calm at all times.,Lucha con valentía. Y mantén siempre la calma.||
We will be right behind you. You are the key to this battle.||We will be right behind you. You are the key to this battle.,Te cubriremos las espaldas. Eres la clave de esta batalla.||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
The preparations are ready. Get in the balloon and follow the king.||The preparations are ready. Get in the balloon and follow the king.,Los preparativos se han ultimado. Sube al globo y sigue al rey.||
Be strong. We're counting on you.||Be strong. We're counting on you.,Sé fuerte. Contamos contigo.||
The wind is strong. Extra careful with the preparations...||The wind is strong. Extra careful with the preparations...,El viento sopla feroz. Mucha atención con los preparativos...||
One look in your eyes gave me courage. You will do well no matter what!||One look in your eyes gave me courage. You will do well no matter what!,"Una mirada tuya me infundió coraje. ¡Pase lo que pase, darás la talla!"||
"It may be your first time in a balloon, but leave everything to us."||"It may be your first time in a balloon, but leave everything to us.","Aunque sea tu primer viaje en globo, déjalo todo en nuestras manos."||
This lukewarm wind... I can't take much more of it. I hope it's over quick!||This lukewarm wind... I can't take much more of it. I hope it's over quick!,Este viento cálido... Ya no lo soporto más. Espero que desaparezca rápido.||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
"This might sound like we're treating you like children, but listen carefully to Lady Zola."||"This might sound like we're treating you like children, but listen carefully to Lady Zola.","Os parecerá que os tratamos como críos, pero prestad mucha atención a Zola."||
"Oh, it's no good. My legs have been shaking non-stop."||"Oh, it's no good. My legs have been shaking non-stop.",No me gusta un pelo. No han parado de temblarme las piernas.||
"I want to fight from the balloon too! But I'm just a private, so I don't get to go."||"I want to fight from the balloon too! But I'm just a private, so I don't get to go.",¡Yo también quiero luchar desde el globo! Pero soy un soldado raso y no me lo permiten.||
I'm going first!||I'm going first!,¡Yo me lanzo primero!||
You have magic. You can't lose to ancient weapons.||You have magic. You can't lose to ancient weapons.,Posees la magia. Eres invulnerable a las armas ancestrales.||
"Quickly, follow the king!"||"Quickly, follow the king!","¡Deprisa, sigue al rey!"||
We will be right behind you. Good luck!||We will be right behind you. Good luck!,Te cubriremos las espaldas. ¡Suerte!||
That base shall soon be ours. But why do I feel so nervous?||That base shall soon be ours. But why do I feel so nervous?,"Muy pronto, esa base estará en nuestro poder. Pero ¿a qué vienen estos nervios?"||
The king himself is fighting. We must help him!||The king himself is fighting. We must help him!,El mismísimo rey está batallando. ¡Debemos ayudarlo!||
Oh how calm Lady Zola appears! So regal...||Oh how calm Lady Zola appears! So regal...,Qué calmada parece la capitán Zola. Tan majestuosa...||
Let's fight for the sake of our families!||Let's fight for the sake of our families!,¡Luchemos por nuestras familias!||
When it gets dangerous help us with your magic!||When it gets dangerous help us with your magic!,"Cuando la cosa se ponga fea, ayúdanos con tu magia."||
What are you doing? Lady Zola is waiting!||What are you doing? Lady Zola is waiting!,¿Qué haces? La capitán Zola aguarda.||
How unlucky can I get! Today is my birthday!||How unlucky can I get! Today is my birthday!,Pero qué mala suerte. ¡Hoy es mi cumpleaños!||
I've never felt so nervous before. Good luck!||I've never felt so nervous before. Good luck!,Jamás había sentido tantos nervios. ¡Suerte!||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
It's not over yet.||It's not over yet.,Aún no se ha acabado.||
"As the head of my kingdom, it is important to celebrate, but..."||"As the head of my kingdom, it is important to celebrate, but...","Como soberano de mi reino, es importante festejarlo, pero..."||
But where is Nene...||But where is Nene...,Pero ¿dónde está Nené...?||
Lady Zola! What are you thinking?||Lady Zola! What are you thinking?,"Amada Zola, ¿qué piensas hacer?"||
Nothing Marumaro. You just keep being lighthearted.||Nothing Marumaro. You just keep being lighthearted.,"Nada, Marumaro. Tú sigue igual de alegre."||
That reminds me. The king has something he wanted to discuss with you later.||That reminds me. The king has something he wanted to discuss with you later.,Eso me recuerda que el rey quería comentarte un asunto más tarde.||
Let me know when you're about to leave. Got it?||Let me know when you're about to leave. Got it?,Avísame cuando te vayas. ¿Lo entiendes?||
How do you like our celebrations? Have you enjoyed the food and conversation?||How do you like our celebrations? Have you enjoyed the food and conversation?,¿Te deleitan nuestros festejos? ¿Has disfrutado de la comida y la conversación?||
Ready to leave? #Y||Ready to leave? #Y,¿Quieres marcharte? #Y||
"All right, follow me."||"All right, follow me.","Sígueme, pues."||
Is that so? Then we'll wait a bit longer.||Is that so? Then we'll wait a bit longer.,"¿De verdad? Entonces, esperaremos un poco más."||
"Fight, eat, celebrate... Men are so simple."||"Fight, eat, celebrate... Men are so simple.","Luchar, comer, festejar... Qué simples son los hombres."||
"It was a long, long battle. But we finally destroyed the tsunami vortex."||"It was a long, long battle. But we finally destroyed the tsunami vortex.","Fue una batalla larga, muy larga. Pero finalmente destruimos el vórtice maremoto."||
"Zola was the most valiant one of all, but I'm not too pleased..."||"Zola was the most valiant one of all, but I'm not too pleased...","Zola fue la más valerosa de todos, pero no es que me agrade mucho..."||
The men are disappointing. What could they have done without you outsiders?||The men are disappointing. What could they have done without you outsiders?,"Qué decepcionantes son los hombres. ¿Qué habrían hecho sin vosotros, extranjeros?"||
"If this is the end of all battles, the expense of this celebration isn't bad. If only this were really the end..."||"If this is the end of all battles, the expense of this celebration isn't bad. If only this were really the end...","Si hemos puesto fin a todas las batallas, los gastos de los festejos no me parecen desorbitados. Ojalá no hubiera más guerras..."||
The expenses last night alone were about half our expected military budget.||The expenses last night alone were about half our expected military budget.,"Con los festejos de anoche, nos hemos gastado la mitad del presupuesto militar."||
If it hadn't been for you we would have gone bankrupt.||If it hadn't been for you we would have gone bankrupt.,"Si no fuese por ti, nos habríamos ido a la quiebra."||
I wonder if that puppy went straight back to the little girl.||I wonder if that puppy went straight back to the little girl.,No sé si ese cachorrito volvió con la pequeñaja.||
You must be bored talking to an old man. Go and talk with the others.||You must be bored talking to an old man. Go and talk with the others.,"Seguro que te aburres charlando con un vejestorio. Anda, habla con los demás."||
I'm so glad you're safe! You did well to emerge victorious!||I'm so glad you're safe! You did well to emerge victorious!,¡Cuánto me alegro de que estéis a salvo! ¡Habéis salido victoriosos!||
It was a terrible battle that could have been lost at any moment.||It was a terrible battle that could have been lost at any moment.,Fue una batalla sangrienta que estuvimos a punto de perder.||
This is a great accomplishment! You should be proud.||This is a great accomplishment! You should be proud.,¡Es toda una hazaña! Estamos muy orgullosos.||
Jibral can do nothing without Gorgos. Ha ha ha ha!||Jibral can do nothing without Gorgos. Ha ha ha ha!,"Yibral está perdida sin los golgo. ¡Ja, ja, ja!"||
"Me! Fought with small guy, there!"||"Me! Fought with small guy, there!",¡Yo! Luché con el pequeñajo ese.||
You! Know me? Fought with you!||You! Know me? Fought with you!,¡Tú! ¿Me conoces? ¡Luché contigo!||
The kitchen is a whirl of activity.||The kitchen is a whirl of activity.,La cocina es un hervidero.||
"You're worn out after the battle? Oh, nonsense!"||"You're worn out after the battle? Oh, nonsense!",¿Que la batalla te ha dejado sin fuerzas? ¡Tonterías!||
"You're young. Eat up, and you'll feel better soon."||"You're young. Eat up, and you'll feel better soon.",Eres joven. Hártate de comer y te recuperarás enseguida.||
This celebration is for you. Enjoy it at your leisure!||This celebration is for you. Enjoy it at your leisure!,Estos festejos son en tu honor. ¡Que te diviertas!||
Eat up and feel better!||Eat up and feel better!,¡Hártate de comer y te recuperarás!||
I'm so glad there weren't any major casualties...||I'm so glad there weren't any major casualties...,Menos mal que no hubo bajas considerables...||
Our lips are smacking over the good food and we're drunk on the wine of victory!||Our lips are smacking over the good food and we're drunk on the wine of victory!,Nuestro paladar saborea los exquisitos manjares y nos emborrachamos con el vino de la victoria.||
This is true happiness!||This is true happiness!,¡Esto sí que es vida!||
This should put an end to all the strange things happening everywhere.||This should put an end to all the strange things happening everywhere.,Esto acabará con todos esos sucesos tan extraños que ocurren en todos lados.||
It's no exaggeration to say that all our hard work was for this day.||It's no exaggeration to say that all our hard work was for this day.,No exagero al afirmar que todos nuestros sacrificios han dado su fruto hoy.||
I will never forget fighting alongside the king as long as I live.||I will never forget fighting alongside the king as long as I live.,"Mientras viva, jamás olvidaré que luché al lado del rey."||
Did you see? When the mother ship went down? I never knew victory would be so thrilling!||Did you see? When the mother ship went down? I never knew victory would be so thrilling!,¿Viste cuando la nave nodriza descendió? No sabía que la victoria fuera tan emocionante.||
The Land Sharks should stop threatening Talta now. That's good.||The Land Sharks should stop threatening Talta now. That's good.,"Los terraburones dejarán de amenazar Talta. Buenas noticias, al fin."||
Jibral has been saved. A toast to a magnificent king!||Jibral has been saved. A toast to a magnificent king!,Yibral se ha salvado. ¡Un brindis por el magnánimo rey!||
This is a victory to commemorate! This will be part of our great history!||This is a victory to commemorate! This will be part of our great history!,¡Una victoria épica que ya ha entrado en nuestra gran historia!||
Happiness to all our people!||Happiness to all our people!,¡Felicidad para los nuestros!||
Magic is great but it can be terrifying... You have to be careful to control your strength.||Magic is great but it can be terrifying... You have to be careful to control your strength.,"La magia está muy bien, pero puede resultar aterradora... Debes controlar la fuerza."||
I can't drink anymore...||I can't drink anymore...,No puedo beber más...||
"Eat more, drink more, come on!"||"Eat more, drink more, come on!",¡Comed y bebed sin parar!||
If you hadn't been here we would never have won.||If you hadn't been here we would never have won.,"Si no hubieras venido, jamás habríamos vencido."||
"Yes, it was electrifying."||"Yes, it was electrifying.","Sí, ha sido una pasada."||
Our king fighting in such a great battle makes me so very proud of him.||Our king fighting in such a great battle makes me so very proud of him.,Que nuestro rey haya librado tan épica batalla hace que me enorgullezca de él.||
"Great job! This isn't much, but I want you to have it."||"Great job! This isn't much, but I want you to have it.","¡Buen trabajo! Aunque no es gran cosa, quiero que te lo quedes."||
Inviting a waitress from Cafe Jibral... The king has style!||Inviting a waitress from Cafe Jibral... The king has style!,Mira que invitar a una camarera del Café Yibral... ¡Qué estilo tiene el rey!||
A toast to the chief chef as well!||A toast to the chief chef as well!,¡Y un brindis por el gran chef!||
I ate too much... I feel sick...||I ate too much... I feel sick...,He comido demasiado... Me siento mal...||
You'll be heroes when you go out in the streets! Well done!||You'll be heroes when you go out in the streets! Well done!,"¡Cuando salgáis a la calle, os tratarán como héroes! ¡Buen trabajo!"||
A toast to our wonderful king!||A toast to our wonderful king!,¡Un brindis por nuestro ilustre rey!||
That Cafe Jibral waitress is very cute.||That Cafe Jibral waitress is very cute.,La camarera del Café Yibral es muy guapa.||
I bet there'll be lots of presents.||I bet there'll be lots of presents.,Seguro que me hacen mogollón de regalos.||
There's delicious food at every table. I'm getting dizzy from looking at it all.||There's delicious food at every table. I'm getting dizzy from looking at it all.,"Hay platos exquisitos en todas las mesas. Con sólo mirarlos, ya me mareo."||
"Who is Nene, exactly? Is he a survivor from the ancient world?"||"Who is Nene, exactly? Is he a survivor from the ancient world?",¿Y quién es ese Nené? ¿Un superviviente del mundo ancestral?||
Of course we can't really go crazy when the king and his ministers are here.||Of course we can't really go crazy when the king and his ministers are here.,"Claro está, no podemos volvernos locos en presencia del rey y sus ministros."||
"Right now, they are singing about your efforts in the streets!"||"Right now, they are singing about your efforts in the streets!","Justo ahora, cantan vuestras proezas en las calles."||
It's great food!||It's great food!,¡Una comida riquísima!||
Cafe Jibral is also known as the hub of information. You can find out many things there.||Cafe Jibral is also known as the hub of information. You can find out many things there.,El Café Yibral es un hervidero de información. Allí te enteras de muchas cosas.||
The king's stock is going to go up with this battle.||The king's stock is going to go up with this battle.,El rey aumentará sus reservas con esta batalla.||
I just can't calm down... Is the battle really over?||I just can't calm down... Is the battle really over?,No puedo tranquilizarme... ¿Ha terminado la batalla?||
"A second ago, I shared a glance with Secretary Shuria. I wonder if she has feelings for me..."||"A second ago, I shared a glance with Secretary Shuria. I wonder if she has feelings for me...","Hace un segundo, he cruzado miraditas con la secretaria Shuria. ¿Sentirá algo por mí?"||
I thought you were just children! Yet you did it!||I thought you were just children! Yet you did it!,"¡Creía que erais unos críos, pero lo habéis logrado!"||
You really outdid yourselves! Let's go to Cafe Jibral sometime!||You really outdid yourselves! Let's go to Cafe Jibral sometime!,"¡Os habéis superado! Un día de estos, tenemos que quedar en el Café Yibral."||
I run Cafe Jibral. Come by sometime.||I run Cafe Jibral. Come by sometime.,Yo llevo el Café Yibral. A ver si os pasáis.||
I run Cafe Jibral. I wanted to be in on the celebration.||I run Cafe Jibral. I wanted to be in on the celebration.,Llevo el Café Yibral y no quería perderme los festejos.||
I ran over here from Cafe Jibral! Have a good time.||I ran over here from Cafe Jibral! Have a good time.,¡Vengo corriendo desde el Café Yibral! A pasarlo bien.||
You fought well. Let's fight together again.||You fought well. Let's fight together again.,Has luchado con vigor. Volvamos a luchar juntos.||
My portion of the feast... I hope there's some left...||My portion of the feast... I hope there's some left...,Mi parte del banquete... Espero que haya sobrado algo...||
A battle to be remembered in history!||A battle to be remembered in history!,¡Ha sido una batalla histórica!||
"The victory was thanks to Captain Zola! And you too, of course!"||"The victory was thanks to Captain Zola! And you too, of course!","¡El triunfo se lo debemos a la capitán Zola! ¡Y a vosotros, claro!"||
The mechat you brought back is stored in the lab.||The mechat you brought back is stored in the lab.,El mecóptero que trajisteis está en el laboratorio.||
"But unfortunately the Eternal Engine was damaged, and we're not sure if we can fix it."||"But unfortunately the Eternal Engine was damaged, and we're not sure if we can fix it.","Pero, por desgracia, el reactor eterno se ha averiado y no sabemos si tiene arreglo."||
"Just relax! With my brains, we'll find a way to repair it!"||"Just relax! With my brains, we'll find a way to repair it!","No te preocupes. Con mi cerebro, seguro que lo arreglamos."||
It's been a week since I left the lab. Am I funky?||It's been a week since I left the lab. Am I funky?,Hace una semana que salí del laboratorio. ¿Me huelen los alerones?||
It's been several months since I've seen food like this.||It's been several months since I've seen food like this.,Hace varios meses que no veo una comida así.||
(burp) I ate too much... I ate three million calories...||(burp) I ate too much... I ate three million calories...,(Burp) He comido demasiado... Tres millones de calorías...||
Nobody ate as much as me!||Nobody ate as much as me!,¡Nadie ha comido tanto como yo!||
(burp) I ate too much. What? Three million calories?||(burp) I ate too much. What? Three million calories?,(brrrr) He comido demasiado. ¿Cómo? ¿Tres millones de calorías?||
I ate three million and ONE calories!||I ate three million and ONE calories!,"¡Pues yo, tres millones y una más!"||
Who says? I ate the most.||Who says? I ate the most.,¿Quién lo dice? Yo he comido más.||
"Yeah, I ate three million and TWO calories!"||"Yeah, I ate three million and TWO calories!","¡Sí, tres millones de calorías y dos más!"||
"Yeah, I ate three million and THREE calories!"||"Yeah, I ate three million and THREE calories!","¡Pues yo, tres millones de calorías y tres más!"||
"Yeah, I ate three million and FOUR calories!"||"Yeah, I ate three million and FOUR calories!","¡Pues yo, tres millones de calorías y cuatro más!"||
"Yeah, I ate three million and FIVE calories!"||"Yeah, I ate three million and FIVE calories!","¡Pues yo, tres millones de calorías y cinco más!"||
"Yeah, I ate three million and SIX calories!"||"Yeah, I ate three million and SIX calories!","¡Pues yo, tres millones de calorías y seis más!"||
"Yeah, I ate three million and SEVEN calories!"||"Yeah, I ate three million and SEVEN calories!","¡Pues yo, tres millones de calorías y siete más!"||
"Yeah, I ate three million and EIGHT calories!"||"Yeah, I ate three million and EIGHT calories!","¡Pues yo, tres millones de calorías y ocho más!"||
"Yeah, I ate three million and NINE calories!"||"Yeah, I ate three million and NINE calories!","¡Pues yo, tres millones de calorías y nueve más!"||
"Yeah, I ate three million and..."||"Yeah, I ate three million and...","Pues yo, tres millones de calorías y..."||
"Hey, how many was it? I forgot..."||"Hey, how many was it? I forgot...",¿Cuántas iban? Se me ha olvidado...||
"How embarrassing... Here, take this!"||"How embarrassing... Here, take this!","Qué bochorno... ¡Anda, toma!"||
Zzz...||Zzz...,Zzz...||
I drank too much.||I drank too much.,He bebido demasiado.||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
We don't know what dangers await us in the lands to the north.||We don't know what dangers await us in the lands to the north.,No sabemos qué peligros nos acecharán en las tierras del norte.||
Be careful.||Be careful.,Mucho cuidado.||
We're counting on you. We're waiting for good news.||We're counting on you. We're waiting for good news.,Contamos contigo. Quedamos a la espera de buenas noticias.||
"While Lady Zola is away, the king himself is expected to lead the Blademasters."||"While Lady Zola is away, the king himself is expected to lead the Blademasters.","En ausencia de la capitán Zola, el rey en persona capitaneará a los Maestros de espada."||
"Jibral, which has grown so prosperous, must now aid other lands."||"Jibral, which has grown so prosperous, must now aid other lands.","Yibral, que vive en la prosperidad, debe ayudar a otros reinos."||
Visit again the places you once knew. There may be something new there.||Visit again the places you once knew. There may be something new there.,Visita los lugares que ya conoces. Quizá haya algo nuevo.||
My superior has been a little gentler since that purple cloud appeared.||My superior has been a little gentler since that purple cloud appeared.,Mi superior se porta un poco mejor desde que apareció esa nube púrpura.||
What? Even the guy next to me has a heart to love Jibral.||What? Even the guy next to me has a heart to love Jibral.,¿Cómo? Hasta el que está a mi lado siente debilidad por Yibral.||
Not used||Not used,Sin usar||
"Hey, brother! Visit the Alumaru Village too."||"Hey, brother! Visit the Alumaru Village too.","¡Oye, hermano! Visita la aldea Alumaru."||
We Gorgos are a hundred times stronger than humans.||We Gorgos are a hundred times stronger than humans.,Los golgo somos cien veces más fuertes que los humanos.||
This is the mechat you brought back. It's still broken and won't work.||This is the mechat you brought back. It's still broken and won't work.,"Es el mecóptero que trajisteis, pero sigue averiado y no funciona."||
We have to get more parts to repair it. But we'll fix your mechat!||We have to get more parts to repair it. But we'll fix your mechat!,"Necesitamos más piezas, pero arreglaremos el mecóptero."||
The mechat's Eternal Engine is still intact. It just won't run...||The mechat's Eternal Engine is still intact. It just won't run...,"El reactor eterno del mecóptero está en buen estado, pero no arranca..."||
"Well, this is up to the head scientist. He will find some way to repair it."||"Well, this is up to the head scientist. He will find some way to repair it.","En fin, que lo arregle el científico jefe. Seguro que encuentra la solución."||
"This is the mechat you brought back. It looks great, but it just won't work."||"This is the mechat you brought back. It looks great, but it just won't work.","Aquí está el mecóptero que trajisteis. Tiene buena pinta, pero no funciona."||
"The Eternal Engine is intact, but..."||"The Eternal Engine is intact, but...","El reactor eterno está en buen estado, pero..."||
There are too many unknowns in ancient technology.||There are too many unknowns in ancient technology.,La tecnología ancestral encierra demasiados interrogantes.||
We're thinking about how to repair the mechat. We're going to make sure it flies again.||We're thinking about how to repair the mechat. We're going to make sure it flies again.,Intentamos reparar el mecóptero porque queremos que vuelva a volar.||
Ancient civilization is very complex.||Ancient civilization is very complex.,La civilización ancestral es muy compleja.||
There's nothing we can't solve with research! I think...||There's nothing we can't solve with research! I think...,"¡Si investigamos, no hay misterio que se nos resista! O eso creo..."||
It's a mystery! We're studying the mechat's mysteries!||It's a mystery! We're studying the mechat's mysteries!,¡Menudo misterio! Estamos estudiando los secretos del mecóptero.||
"Oh yeah, and don't forget to collect any mysterious items you find."||"Oh yeah, and don't forget to collect any mysterious items you find.","Ah, sí. Y no olvides recoger los objetos misteriosos que encuentres."||
"I am the chief chef here. The food at Jibral Castle is good, of course it is!"||"I am the chief chef here. The food at Jibral Castle is good, of course it is!","Soy el gran chef. La comida del castillo Yibral está exquisita, no faltaba más."||
I am the chief chef's first assistant. I can cook as perfectly as my master.||I am the chief chef's first assistant. I can cook as perfectly as my master.,Soy el primer pinche del gran chef y cocino igual de bien que mi maestro.||
I am the chief chef's second assistant. We all seem to resemble him eventually.||I am the chief chef's second assistant. We all seem to resemble him eventually.,"Soy el segundo pinche del gran chef. Al final, todos acabamos pareciéndonos a él."||
I'm just an assistant here. But even I ended up looking like the chief chef.||I'm just an assistant here. But even I ended up looking like the chief chef.,"Aunque soy un mero pinche, hasta yo he acabado pareciéndome al gran chef."||
"The longer they work here, the more they resemble him. I try to avoid here as much as possible."||"The longer they work here, the more they resemble him. I try to avoid here as much as possible.","Cuanto más trabajan aquí, más se parecen a él. Si puedo evitarlo, prefiero no venir."||
The king might embark on another expedition. He has the face of someone wanting to travel.||The king might embark on another expedition. He has the face of someone wanting to travel.,El rey quizá se embarque en otra expedición. Tiene cara de querer viajar.||
The king is naive. We must get more taxes from the people in future.||The king is naive. We must get more taxes from the people in future.,"Qué ingenuo es el rey. En el futuro, debemos recaudar más impuestos."||
What have we here? You have brought safety to Jibral.||What have we here? You have brought safety to Jibral.,¿Qué tenemos aquí? Habéis restablecido la seguridad en Yibral.||
You have given us this peace.||You have given us this peace.,Nos habéis brindado esta paz.||
There have been no guests of late... I wonder what happened.||There have been no guests of late... I wonder what happened.,"Últimamente, no viene nadie... ¿Qué habrá pasado?"||
"You're leaving? Well, I appreciate everything. "||"You're leaving? Well, I appreciate everything. ","¿Te marchas ya? Bueno, gracias por todo. "||
Come again any time!||Come again any time!,¡Vuelve cuando quieras!||
I think I'm going to take the next Blademaster test.||I think I'm going to take the next Blademaster test.,Creo que intentaré unirme a los Maestros de espada.||
There are ancient relics all over the world. But hardly anyone has ever seen them.||There are ancient relics all over the world. But hardly anyone has ever seen them.,"Hay reliquias ancestrales por todos los rincones del mundo, pero casi nadie las ha visto."||
I shall protect this kingdom!||I shall protect this kingdom!,¡Protegeré este reino!||
"No matter what happens, I'm sure you will find a way."||"No matter what happens, I'm sure you will find a way.","Pase lo que pase, seguro que encuentras una solución."||
We are soldiers because we fight!||We are soldiers because we fight!,¡Somos soldados porque luchamos!||
We will always talk about how you fought in that battle.||We will always talk about how you fought in that battle.,Siempre recordaremos cómo luchaste en esa batalla.||
"It's Master Shu and his friends! Please, look about the garden at your leisure."||"It's Master Shu and his friends! Please, look about the garden at your leisure.",¡El amo Shu y sus amigos! Pasead todo lo que queráis por el jardín.||
Please take your time.||Please take your time.,No tengáis prisa.||
We'll be on guard while Lady Zola is away.||We'll be on guard while Lady Zola is away.,Haremos guardia mientras Zola esté ausente.||
This is Minister Jonveeno's quarters.||This is Minister Jonveeno's quarters.,Este es el gabinete del ministro Yonvino.||
The central garden is ahead.||The central garden is ahead.,El jardín central está más adelante.||
The central garden is ahead.||The central garden is ahead.,El jardín central está más adelante.||
This is the senior minister's quarters.||This is the senior minister's quarters.,Este es el gabinete del gran ministro.||
This is the Blademasters' waiting quarters.||This is the Blademasters' waiting quarters.,Esta es la antesala para los Maestros de espada.||
You can hear all sorts of gossip if you go Cafe Jibral.||You can hear all sorts of gossip if you go Cafe Jibral.,Te enterarías de muchos rumores si fueras al Café Yibral.||
